"","denom_cia","dt_fim_exerc","cnpj_cia","dt_cotacao","lucro_liquido","pl","ativo_circulante","ativo_nao_circulante","ativo_total","passivo_circulante","passivo_nao_circulante","passivo_total","roe","roi","popl","poat","roa","gaf","pl_alternativo","ebit","ebitda","receitas_financeiras","resultado_financeiro","depreciacao","dt_ini_exerc","cd_cvm","ticker","close","close_dividends","dividends_acc","close_tres_meses","close_dividends_tres_meses","dividends_acc_tres_meses"
"1","BCO BRASIL S.A.",2011-12-31,"00000000000191",2012-03-30,12736912,63269224,NA,NA,966823068,NA,NA,903553844,0.201312916371473,0.0131739843840797,14.2810957188285,0.934559666505599,0.0184059065086354,15.2810957188285,63269224,NA,NA,NA,NA,-4206485,2011-01-01,1023,"BBAS3",12.2285432815552,16.3228472815552,4.094304,9.42324924468994,13.8791022446899,4.455853
"2","BCO BRASIL S.A.",2012-12-31,"00000000000191",2013-03-28,11405317,69898229,NA,NA,1136007475,NA,NA,1066109246,0.163170328678857,0.0100398256622387,15.2523069790509,0.938470273710127,0.0132118382407651,16.2523069790509,69898229,NA,NA,NA,NA,-4353618,2012-01-01,1023,"BBAS3",13.6229972839355,19.4190932839355,5.796096,11.3972148895264,17.5735028895264,6.176288
"3","BCO BRASIL S.A.",2013-12-31,"00000000000191",2014-03-31,11288834,76381996,NA,NA,1162167882,NA,NA,1085785886,0.14779443574635,0.00971360005283643,14.2152070233933,0.934276280404039,0.0110646613102667,15.2152070233933,76381996,NA,NA,NA,NA,-3700188,2013-01-01,1023,"BBAS3",12.798716545105,20.892340545105,8.093624,13.9832277297974,22.4791097297974,8.495882
"4","BCO BRASIL S.A.",2014-12-31,"00000000000191",2015-03-31,13343496,85440036,NA,NA,1278136948,NA,NA,1192696912,0.156173810600923,0.0104398014789257,13.9594617212006,0.93315267496672,0.0122087989275465,14.9594617212006,85440036,NA,NA,NA,NA,-4037956,2014-01-01,1023,"BBAS3",13.7185115814209,23.4935545814209,9.775043,14.8071193695068,25.3231943695068,10.516075
"5","BCO BRASIL S.A.",2015-12-31,"00000000000191",2016-03-31,15798039,86229994,NA,NA,1388864529,NA,NA,1302634535,0.183208165362971,0.0113747875837644,15.1065131118993,0.937913315374188,0.00729913090033276,16.1065131118993,86229994,NA,NA,NA,NA,-3844454,2015-01-01,1023,"BBAS3",12.9595346450806,24.5168756450806,11.557341,11.3588752746582,23.1876542746582,11.828779
"6","BCO BRASIL S.A.",2016-12-31,"00000000000191",2017-03-31,8659577,90076693,NA,NA,1387215686,NA,NA,1297138993,0.0961356008040837,0.00624241571616715,14.400384270324,0.935066555324404,0.00785056506346339,15.400384270324,90076693,NA,NA,NA,NA,-3756303,2016-01-01,1023,"BBAS3",22.989070892334,35.369291892334,12.380221,18.6777763366699,31.3195103366699,12.641734
"7","BCO BRASIL S.A.",2017-12-31,"00000000000191",2018-03-29,12275303,101238428,NA,NA,1353075042,NA,NA,1251836614,0.121251418483108,0.00907215240764156,12.365231648994,0.925178999791203,0.0117735236446701,13.365231648994,101238428,NA,NA,NA,NA,-3579225,2017-01-01,1023,"BBAS3",28.9513778686523,42.5069208686523,13.555543,20.9400405883789,34.7867405883789,13.8467
"8","BCO BRASIL S.A.",2018-12-31,"00000000000191",2019-03-29,15086101,104539971,NA,NA,1396507474,NA,NA,1291967503,0.144309404868689,0.0108027355963868,12.3585982532939,0.925141846394443,0.0146180377692701,13.3585982532939,104539971,NA,NA,NA,NA,-3052169,2018-01-01,1023,"BBAS3",36.0898628234863,51.5822908234863,15.492428,40.3819351196289,56.4602551196289,16.07832
"9","BCO BRASIL S.A.",2019-12-31,"00000000000191",2020-03-31,18888318,109971379,NA,NA,1452266807,NA,NA,1342295428,0.171756671342641,0.0130060935834637,12.2058615633073,0.924276050055036,0.00767043076816669,13.2058615633073,109971379,NA,NA,NA,NA,-3986401,2019-01-01,1023,"BBAS3",21.7539958953857,39.6729438953857,17.918948,25.7943630218506,43.7133110218506,17.918948
"10","BCO BRASIL S.A.",2020-12-31,"00000000000191",2021-03-31,NA,NA,NA,NA,1693794003,NA,NA,NA,NA,NA,NA,NA,0.00683495335294324,NA,NA,NA,NA,NA,NA,-4213994,2020-01-01,1023,"BBAS3",24.8595104217529,44.2166424217529,19.357132,26.4084892272949,46.3485852272949,19.940096
"11","BCO BRASIL S.A.",2021-12-31,"00000000000191",2022-03-31,NA,NA,NA,NA,1899340511,NA,NA,NA,NA,NA,NA,NA,0.0126305898605666,NA,NA,NA,NA,NA,NA,-3994420,2021-01-01,1023,"BBAS3",30.8238048553467,52.9009708553467,22.077166,29.7868881225586,52.2696861225586,22.482798
"12","BCO BRASIL S.A.",2022-12-31,"00000000000191",2023-03-31,NA,NA,NA,NA,2007727977,NA,NA,NA,NA,NA,NA,NA,0.0190771446325271,NA,NA,NA,NA,NA,NA,-3974116,2022-01-01,1023,"BBAS3",37.160701751709,61.816506751709,24.655805,48.9241104125977,74.5729664125977,25.648856
"13","BRB BCO DE BRASILIA S.A.",2011-12-31,"00000208000100",2012-03-30,128936,896039,NA,NA,8711346,NA,NA,7815307,0.143895522404717,0.0148009274341761,8.72206120492523,0.897141153617363,0.0208727790171576,9.72206120492523,896039,NA,NA,NA,NA,-18542,2011-01-01,14206,"BSLI3",1.72393500804901,1.87957400804901,0.155639,1.72393500804901,1.87957400804901,0.155639
"14","BRB BCO DE BRASILIA S.A.",2011-12-31,"00000208000100",2012-03-30,128935,896039,NA,NA,8711346,NA,NA,7815307,0.143894406381865,0.014800812641353,8.72206120492523,0.897141153617363,0.0208727790171576,9.72206120492523,896039,NA,NA,NA,NA,-18542,2011-01-01,14206,"BSLI4",1.6512314081192,1.8012904081192,0.150059,1.72393500804901,1.87957400804901,0.155639
"15","BRB BCO DE BRASILIA S.A.",2012-12-31,"00000208000100",2013-03-28,195644,1035055,NA,NA,9773466,NA,NA,8738411,0.189017974890223,0.0200178728815346,8.44246054557487,0.894095400751381,0.0289264831943959,9.44246054557487,1035055,NA,NA,NA,NA,-18854,2012-01-01,14206,"BSLI3",2.010666847229,2.319668847229,0.309002,2.010666847229,2.319668847229,0.309002
"16","BRB BCO DE BRASILIA S.A.",2012-12-31,"00000208000100",2013-03-28,195644,1035055,NA,NA,9773466,NA,NA,8738411,0.189017974890223,0.0200178728815346,8.44246054557487,0.894095400751381,0.0289264831943959,9.44246054557487,1035055,NA,NA,NA,NA,-18854,2012-01-01,14206,"BSLI4",1.50237143039703,1.82112943039703,0.318758,2.010666847229,2.319668847229,0.309002
